time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-05 00:00:00+00:00,16,8,60,4
2025-06-06 00:00:00+00:00,37,10,8,1
2025-06-07 00:00:00+00:00,17,9,5,4
2025-06-08 00:00:00+00:00,11,5,14,3
2025-06-09 00:00:00+00:00,13,5,13,5
2025-06-10 00:00:00+00:00,61,17,210,16
2025-06-11 00:00:00+00:00,18,8,15,4
2025-06-12 00:00:00+00:00,61,10,48,9
2025-06-13 00:00:00+00:00,19,11,53,6
2025-06-14 00:00:00+00:00,57,9,19,7
2025-06-15 00:00:00+00:00,3,3,5,3
